"Participant_ID","Participant_Age","Participant_Sex","Item_Category","Item_Name","Trial_Order","Emotion_Condition","Subjective_Arousal","Subjective_Valence","Autobiographical_Link","Recall"
"3S",22.1190965092403,"Female","Faces","Faces_251_v",19,"Neutral",31.5153733528551,-26.7203513909224,12.8477306002928,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_195_v",20,"Neutral",33.3455344070278,43.5578330893119,21.0834553440703,TRUE
"3S",22.1190965092403,"Female","People","People_114_h",21,"Neutral",14.8609077598829,32.2108345534407,24.3777452415813,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_315_h",22,"Neutral",12.6647144948756,-1.09809663250364,26.3909224011713,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_341_h",23,"Neutral",20.7174231332357,-2.56222547584186,28.0380673499268,FALSE
"3S",22.1190965092403,"Female","People","People_038_h",24,"Negative",58.0527086383602,-67.7159590043924,57.8696925329429,TRUE
"3S",22.1190965092403,"Female","People","People_056_h",25,"Neutral",9.9194729136164,2.56222547584186,34.4436310395315,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_172_h",26,"Negative",72.8770131771596,-95.1683748169839,62.6281112737921,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_149_v",27,"Negative",23.4626647144949,-100,14.4948755490483,FALSE
"3S",22.1190965092403,"Female","People","People_149_h",28,"Neutral",23.2796486090776,-38.4333821376281,17.9721815519766,FALSE
"3S",22.1190965092403,"Female","People","People_163_v",29,"Neutral",11.7496339677892,1.46412884333822,23.4626647144949,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_364_v",30,"Negative",100,-100,15.592972181552,FALSE
"3S",22.1190965092403,"Female","People","People_128_h",31,"Negative",69.7657393850659,-55.6368960468521,12.8477306002928,TRUE
"3S",22.1190965092403,"Female","Faces","Faces_064_h",32,"Neutral",24.7437774524158,35.8711566617862,66.1054172767203,TRUE
"3S",22.1190965092403,"Female","Faces","Faces_224_h",33,"Neutral",12.4816983894583,69.9121522693997,14.6778916544656,FALSE
"3S",22.1190965092403,"Female","People","People_208_h",34,"Negative",35.3587115666179,-80.8931185944363,24.5607613469985,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_170_h",35,"Negative",22.5475841874085,-67.7159590043924,68.3016105417277,TRUE
"3S",22.1190965092403,"Female","People","People_246_h",36,"Negative",6.62518301610542,-58.199121522694,25.1098096632504,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_367_h",37,"Negative",15.592972181552,-94.4363103953148,56.2225475841874,FALSE
"3S",22.1190965092403,"Female","Faces","Faces_293_h",38,"Negative",35.7247437774524,-72.8404099560761,66.4714494875549,FALSE
"3S",22.1190965092403,"Female","People","People_201_v",39,"Negative",30.2342606149341,-100,10.2855051244509,FALSE
"3S",22.1190965092403,"Female","People","People_211_v",40,"Negative",57.8696925329429,-100,23.6456808199122,FALSE
"3S",22.1190965092403,"Female","People","People_158_h",41,"Neutral",30.9663250366032,10.2489019033675,43.5944363103953,TRUE
"3S",22.1190965092403,"Female","Faces","Faces_207_h",42,"Neutral",70.8638360175695,87.1156661786237,21.9985358711567,FALSE
"3S",22.1190965092403,"Female","People","People_148_h",43,"Neutral",26.7569546120058,70.6442166910688,27.1229868228404,FALSE
"3S",22.1190965092403,"Female","People","People_097_h",44,"Neutral",18.5212298682284,59.6632503660322,65.0073206442167,TRUE
"3S",22.1190965092403,"Female","People","People_222_h",45,"Negative",29.6852122986823,-64.0556368960468,65.190336749634,FALSE
"3S",22.1190965092403,"Female","People","People_220_h",46,"Negative",99.597364568082,-32.5768667642753,24.3777452415813,TRUE
"3S",22.1190965092403,"Female","People","People_104_h",47,"Neutral",34.4436310395315,-62.5915080527086,24.3777452415813,TRUE
"3S",22.1190965092403,"Female","People","People_138_h",48,"Neutral",20.1683748169839,71.0102489019034,29.1361639824305,TRUE
"4S",21.9329226557153,"Female","People","People_148_h",1,"Neutral",0,-52.0833333333333,78.90625,FALSE
"4S",21.9329226557153,"Female","People","People_102_h",2,"Neutral",19.0104166666667,54.1666666666667,64.84375,FALSE
"4S",21.9329226557153,"Female","People","People_211_v",3,"Negative",66.6666666666667,-100,20.5729166666667,FALSE
"4S",21.9329226557153,"Female","Faces","Faces_367_h",4,"Negative",61.1979166666667,-39.0625,9.63541666666666,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_365_v",5,"Negative",35.15625,-87.5,74.4791666666667,TRUE
"4S",21.9329226557153,"Female","People","People_226_h",6,"Negative",71.3541666666667,-86.9791666666667,10.6770833333333,FALSE
"4S",21.9329226557153,"Female","People","People_237_h",7,"Negative",16.6666666666667,-31.25,77.8645833333333,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_170_h",8,"Negative",17.7083333333333,-83.8541666666667,0,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_366_h",9,"Negative",57.2916666666667,-100,74.21875,FALSE
"4S",21.9329226557153,"Female","People","People_158_h",10,"Neutral",66.9270833333333,100,100,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_315_h",11,"Neutral",0,2.08333333333334,65.3645833333333,FALSE
"4S",21.9329226557153,"Female","People","People_227_h",12,"Negative",57.2916666666667,-77.0833333333333,0,FALSE
"4S",21.9329226557153,"Female","People","People_138_h",13,"Neutral",0,75,86.71875,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_207_h",14,"Neutral",0,-0.520833333333343,0,FALSE
"4S",21.9329226557153,"Female","People","People_184_h",15,"Neutral",32.8125,100,100,TRUE
"4S",21.9329226557153,"Female","People","People_201_v",16,"Negative",66.9270833333333,-100,22.9166666666667,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_195_v",17,"Neutral",18.75,100,70.8333333333333,FALSE
"4S",21.9329226557153,"Female","People","People_038_h",18,"Negative",66.1458333333333,-100,36.1979166666667,FALSE
"4S",21.9329226557153,"Female","Faces","Faces_319_v",19,"Neutral",5.72916666666666,67.7083333333333,99.4791666666667,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_341_h",20,"Neutral",11.4583333333333,33.8541666666667,29.4270833333333,TRUE
"4S",21.9329226557153,"Female","People","People_128_h",21,"Negative",60.6770833333333,-96.3541666666667,86.71875,TRUE
"4S",21.9329226557153,"Female","People","People_104_h",22,"Neutral",24.4791666666667,49.4791666666667,24.21875,FALSE
"4S",21.9329226557153,"Female","People","People_063_h",23,"Neutral",28.125,39.5833333333333,20.0520833333333,FALSE
"4S",21.9329226557153,"Female","People","People_246_h",24,"Negative",21.3541666666667,-13.0208333333333,52.6041666666667,FALSE
"4S",21.9329226557153,"Female","Faces","Faces_224_h",25,"Neutral",24.21875,43.75,47.1354166666667,TRUE
"4S",21.9329226557153,"Female","People","People_238_h",26,"Negative",68.2291666666667,-100,18.75,TRUE
"4S",21.9329226557153,"Female","People","People_220_h",27,"Negative",69.7916666666667,-100,0,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_172_h",28,"Negative",8.59375,-44.2708333333333,77.34375,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_362_v",29,"Negative",31.25,-100,45.8333333333333,FALSE
"4S",21.9329226557153,"Female","Faces","Faces_016_h",30,"Negative",12.2395833333333,-34.8958333333333,6.51041666666666,FALSE
"4S",21.9329226557153,"Female","Faces","Faces_010_h",31,"Negative",63.8020833333333,-100,67.4479166666667,FALSE
"4S",21.9329226557153,"Female","Faces","Faces_064_h",32,"Neutral",15.625,0.520833333333343,6.51041666666666,FALSE
"4S",21.9329226557153,"Female","People","People_149_h",33,"Neutral",8.33333333333334,-27.6041666666667,14.3229166666667,FALSE
"4S",21.9329226557153,"Female","Faces","Faces_251_v",34,"Neutral",87.7604166666667,-35.9375,85.6770833333333,FALSE
"4S",21.9329226557153,"Female","Faces","Faces_343_h",35,"Neutral",59.1145833333333,-64.5833333333333,48.4375,FALSE
"4S",21.9329226557153,"Female","Faces","Faces_045_h",36,"Neutral",10.4166666666667,1.5625,84.375,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_149_v",37,"Negative",64.3229166666667,-100,66.1458333333333,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_196_h",38,"Neutral",0,0,18.75,TRUE
"4S",21.9329226557153,"Female","People","People_056_h",39,"Neutral",23.6979166666667,42.7083333333333,19.0104166666667,FALSE
"4S",21.9329226557153,"Female","Faces","Faces_364_v",40,"Negative",85.15625,-100,82.2916666666667,FALSE
"4S",21.9329226557153,"Female","People","People_163_v",41,"Neutral",0,8.85416666666666,28.125,TRUE
"4S",21.9329226557153,"Female","People","People_097_h",42,"Neutral",0,2.08333333333334,23.4375,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_057_h",43,"Neutral",0,1.04166666666666,24.4791666666667,TRUE
"4S",21.9329226557153,"Female","People","People_114_h",44,"Neutral",17.7083333333333,65.625,69.53125,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_293_h",45,"Negative",27.34375,-65.1041666666667,21.6145833333333,TRUE
"4S",21.9329226557153,"Female","People","People_208_h",46,"Negative",66.40625,-100,13.8020833333333,TRUE
"4S",21.9329226557153,"Female","Faces","Faces_371_v",47,"Negative",61.4583333333333,-100,22.1354166666667,TRUE
"4S",21.9329226557153,"Female","People","People_222_h",48,"Negative",28.125,-98.4375,77.34375,FALSE
"5S",18.7049965776865,"Female","People","People_128_h",1,"Negative",61.71875,-32.2916666666667,7.03125,FALSE
"5S",18.7049965776865,"Female","People","People_038_h",2,"Negative",91.9270833333333,-94.2708333333333,27.0833333333333,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_315_h",3,"Neutral",48.9583333333333,53.125,82.03125,FALSE
"5S",18.7049965776865,"Female","People","People_063_h",4,"Neutral",59.1145833333333,43.2291666666667,65.1041666666667,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_057_h",5,"Neutral",35.4166666666667,39.5833333333333,17.1875,FALSE
"5S",18.7049965776865,"Female","People","People_114_h",6,"Neutral",48.6979166666667,-6.25,33.59375,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_371_v",7,"Negative",94.2708333333333,-82.2916666666667,69.2708333333333,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_365_v",8,"Negative",72.3958333333333,-47.3958333333333,0.520833333333337,FALSE
"5S",18.7049965776865,"Female","People","People_138_h",9,"Neutral",56.25,32.8125,63.0208333333333,TRUE
"5S",18.7049965776865,"Female","People","People_102_h",10,"Neutral",33.59375,2.60416666666666,5.46875,TRUE
"5S",18.7049965776865,"Female","Faces","Faces_224_h",11,"Neutral",51.5625,25.5208333333333,6.25,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_319_v",12,"Neutral",57.5520833333333,39.5833333333333,79.6875,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_207_h",13,"Neutral",65.3645833333333,40.625,75,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_364_v",14,"Negative",89.84375,-89.0625,6.77083333333334,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_293_h",15,"Negative",64.0625,-47.3958333333333,14.0625,FALSE
"5S",18.7049965776865,"Female","People","People_104_h",16,"Neutral",62.2395833333333,29.6875,19.2708333333333,TRUE
"5S",18.7049965776865,"Female","Faces","Faces_341_h",17,"Neutral",77.8645833333333,53.6458333333333,83.3333333333333,TRUE
"5S",18.7049965776865,"Female","Faces","Faces_343_h",18,"Neutral",24.21875,-11.9791666666667,67.1875,TRUE
"5S",18.7049965776865,"Female","People","People_201_v",19,"Negative",64.5833333333333,-30.2083333333333,8.07291666666666,TRUE
"5S",18.7049965776865,"Female","People","People_238_h",20,"Negative",100,-100,60.9375,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_251_v",21,"Neutral",20.5729166666667,-18.75,59.1145833333333,TRUE
"5S",18.7049965776865,"Female","People","People_220_h",22,"Negative",58.0729166666667,-34.375,10.15625,TRUE
"5S",18.7049965776865,"Female","Faces","Faces_045_h",23,"Neutral",10.4166666666667,1.5625,22.1354166666667,FALSE
"5S",18.7049965776865,"Female","People","People_158_h",24,"Neutral",38.671875,31.25,71.875,TRUE
"5S",18.7049965776865,"Female","People","People_222_h",25,"Negative",62.2395833333333,-16.1458333333333,65.8854166666667,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_149_v",26,"Negative",68.4895833333333,-60.9375,15.3645833333333,TRUE
"5S",18.7049965776865,"Female","People","People_097_h",27,"Neutral",20.0520833333333,3.64583333333334,20.5729166666667,FALSE
"5S",18.7049965776865,"Female","People","People_226_h",28,"Negative",73.9583333333333,-74.4791666666667,10.6770833333333,TRUE
"5S",18.7049965776865,"Female","Faces","Faces_170_h",29,"Negative",65.625,-37.5,76.0416666666667,FALSE
"5S",18.7049965776865,"Female","People","People_211_v",30,"Negative",73.1770833333333,-80.2083333333333,5.20833333333334,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_367_h",31,"Negative",73.6979166666667,-72.3958333333333,73.4375,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_366_h",32,"Negative",63.28125,-53.125,17.1875,TRUE
"5S",18.7049965776865,"Female","People","People_149_h",33,"Neutral",50,-1.5625,7.8125,FALSE
"5S",18.7049965776865,"Female","People","People_237_h",34,"Negative",53.3854166666667,-33.8541666666667,11.9791666666667,FALSE
"5S",18.7049965776865,"Female","People","People_056_h",35,"Neutral",57.03125,54.6875,8.07291666666666,TRUE
"5S",18.7049965776865,"Female","Faces","Faces_196_h",36,"Neutral",50,11.9791666666667,12.7604166666667,FALSE
"5S",18.7049965776865,"Female","People","People_184_h",37,"Neutral",62.2395833333333,84.375,84.8958333333333,FALSE
"5S",18.7049965776865,"Female","People","People_208_h",38,"Negative",76.0416666666667,-40.625,4.16666666666666,FALSE
"5S",18.7049965776865,"Female","People","People_227_h",39,"Negative",79.1666666666667,-72.3958333333333,14.0625,FALSE
"5S",18.7049965776865,"Female","Faces","Faces_362_v",40,"Negative",36.71875,-13.0208333333333,12.5,FALSE
"5S",18.7049965776865,"Female","People","People_148_h",41,"Neutral",53.125,50.5208333333333,44.7916666666667,FALSE
"5S",18.7049965776865,"Female","People","People_246_h",42,"Negative",58.8541666666667,-56.7708333333333,20.3125,TRUE
"5S",18.7049965776865,"Female","Faces","Faces_064_h",43,"Neutral",66.9270833333333,90.625,86.71875,TRUE
"5S",18.7049965776865,"Female","Faces","Faces_016_h",44,"Negative",78.125,-59.375,40.8854166666667,TRUE
"5S",18.7049965776865,"Female","Faces","Faces_195_v",45,"Neutral",40.3645833333333,-13.0208333333333,32.2916666666667,FALSE
